token_id	image_path	image_sha256	image_bytes	video_path	video_sha256	video_bytes	metadata_path	metadata_sha256	metadata_bytes
34	images/animata/cards/34.png	f167fe8b64d9875fd444bf0f085793ac967bb961be5216306dda0c82316f9135	1375080	videos/regents-club/34-v1.mp4	f66463de31ed1a205f7c7d09194430579fe412fcaaa14f3bacfb6e569c76e90a	127132	metadata/regents-club/34.json	ce9bdfb91fae022b978bf9a1ee686e353d4c4eefa066779ad938739037d5fc06	737
35	images/animata/cards/35.png	149dfd4339d98a5b2f07478ee29a8d5836aa7239b03cac1fb86e17284a841fa8	1429842	videos/regents-club/35-v1.mp4	0a693f4901bd73d269f702c454beeea7d8508d086d2f9b16005f54a4abc4a248	123928	metadata/regents-club/35.json	8acdff7ec80f31a57f39d5471b43a05dff8d78a9d02d61de5abd4477988cde3d	738
36	images/animata/cards/36.png	3e5411511103e9c5f533abb60004ab997dd804cec28b1c6c9af2f4d9d06a43ff	1729486	videos/regents-club/36-v1.mp4	8b69efa1a90538437d54c8e4e0432c1bd48cf1f5c4bf4cc723827178502fa45a	137179	metadata/regents-club/36.json	1901520beed976f7dffc0508087bec2cc2d073f2b43d1256666a2e75adacfc8c	741
37	images/animata/cards/37.png	9baf1808a1268886536c589e155e05eb7134965c98c0e8b7c4e24e88ec4eb471	1966781	videos/regents-club/37-v1.mp4	4bb0db00fd48db0a18f2a9d4860bcf468208aa9ca9536c39e866257645581d4b	167836	metadata/regents-club/37.json	843b166bde94f0738a9db07e7aadc4fc87929f0626537a5b7e8419bd37f2035f	740
38	images/animata/cards/38.png	0554faf97f9180eb3a1f530c53aff63589d5f14004a23cf1b7f953fff24eabdd	3029394	videos/regents-club/38-v1.mp4	9827d0d598294756c34b75a6e4d754b443c8599543085b5f8e5303f5b686cade	301176	metadata/regents-club/38.json	f32a2a2fe3793611876ce5a3408ba77717273601e345bb559e377198441f379c	742
39	images/animata/cards/39.png	6178c35926685a78aab3550c466d9200055e940b35b6386d32126eaf49a71914	2708868	videos/regents-club/39-v1.mp4	fc1afca3efef254aaade6d8d070effd0d04d1eb89a01ec96f5065ef7a0e4457a	227013	metadata/regents-club/39.json	58ce6cafab5ac7ece1bdd1e9577f04b730e3606125cac301e2b36bd4466f398b	740
40	images/animata/cards/40.png	a20b2af3a782f340ab9e76cf4b5af1160e670be877c51f786452333081956a08	2387668	videos/regents-club/40-v1.mp4	f965ee624e177c74e8eafd0b385fe50467065e7d2a560179d4b9295dc1b69aeb	210063	metadata/regents-club/40.json	30445c70562efba2e4c6edf3e4197ab45efaa95125fe1a6da61f9045aa35dd91	741
41	images/animata/cards/41.png	7771b5cf673f9eba3c11e249053251a13c950da90f99481c98d28e19b00ed470	2882667	videos/regents-club/41-v1.mp4	fdc31fa2cd15305d80753840208b7d0147eac359a256e31ab833ec9b67e83ad8	286696	metadata/regents-club/41.json	5f64b17fa4c7a9736607989eb24d6c7928503a7bcddd5ebe13fdd2e2cc730401	742
42	images/animata/cards/42.png	0b97fab3e531e46afbaca682bd567e4fddb62b72eb26ade02927e3751d6e73b2	1701372	videos/regents-club/42-v1.mp4	f66fd1d574863cd16f13ecfe2170acf78b67e2b8fea153b0143cb0d3cbe631a6	152343	metadata/regents-club/42.json	066d928a2238bdab8c5ec92f49ec68257e34fec78f7424bc381058cb065d43ed	743
43	images/animata/cards/43.png	fae120283cdd9a8654237375f59860ab480b2d24908565b3512f0fdb1b66318e	2434646	videos/regents-club/43-v1.mp4	f3b3137aebc0c2d0356db6e29aa540afbeb95253448cd76370db54fff4f6a630	188845	metadata/regents-club/43.json	fbc5ab1f2750d435b62ca2c9df1e1c11a85ac178a2638e17a60d5deaeae02475	747
